Gene	Level_1	Level_2	Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	
YDL179w	1	11	-0.75808	-0.90319	-0.98935	-0.73995	-0.67193	-0.12777	-0.95307	-1.01656	0.7973	2.11688	1.98537	0.61591	0.56603	-0.13684	-0.52228	-0.05068	0.78823		
YLR079w	1	11	-0.48845	-0.70828	-0.47688	-0.65814	-0.45374	-0.47302	-0.71214	-1.02839	0.24048	3.11376	1.28952	0.44874	0.04379	-0.31104	-0.30332	-0.34575	0.82285		
YER111c	1	11	-0.42218	0.23887	1.84427	-0.02083	-0.61105	-0.65827	-0.79992	-0.39857	-0.09166	2.03314	1.58457	0.68744	0.14443	-0.7291	-1.46097	-0.82353	-0.51662		
YBR200w	1	12	0.09824	0.55258	-0.89641	-1.19111	-1.11744	-0.76133	0.09824	2.1612	1.46126	1.03148	0.67537	-0.33155	-0.6017	-1.39987	-0.42978	-0.15963	0.81045		
YJL194w	1	13	-1.29859	1.71422	-0.52745	-1.11926	-0.63505	-0.02532	-0.36605	-0.76059	1.44522	2.05496	-0.22259	0.20782	-0.36605	0.01055	-0.77852	-0.49159	1.15829		
YLR274w	1	13	-0.40461	0.15884	-0.17072	-1.13816	-1.05311	-0.87238	-0.67039	0.25452	1.79605	2.31698	1.10502	-0.04315	-0.52155	-0.90428	-0.72355	0.05253	0.81798		
YBR202w	1	13	-1.18187	-0.09527	-0.73766	-1.1067	-1.17503	-0.97002	0.01407	1.39452	1.30568	1.66105	0.56078	-0.47114	-0.68299	-0.75816	0.05507	1.33985	0.84781		
YPR019w	1	13	-0.74382	-0.9365	0.03896	-0.7679	-0.65952	-0.40662	-0.35845	1.11077	1.29141	2.33913	0.91809	-1.05693	-0.79199	-0.86425	-0.14168	-0.18985	1.21915		
YBL023c	1	13	-1.38479	-0.03287	0.70618	-0.826	-1.25861	-0.68179	0.11133	1.82377	2.22033	0.61605	0.4358	-0.23115	-0.42943	-1.16848	-0.42943	0.05726	0.47185		
YEL032w	1	13	-0.42287	0.87044	-0.35569	-0.60763	-0.87637	-0.99394	0.1818	2.21414	1.18957	1.64307	0.04742	-0.69161	-0.69161	-1.04433	-1.1955	0.28257	0.45054		
YJL157c	1	14	-0.9523	-0.89126	-1.1158	-1.1049	-0.80405	-0.44435	-0.52937	0.45384	0.50398	2.4464	1.66812	0.11593	-0.29828	-0.22198	-0.1108	0.14645	1.13837		
YKL185w	1	14	-0.42286	-0.71013	-0.83755	-0.71013	-0.56186	-0.54565	-0.73562	-0.4553	0.53856	3.01047	1.43049	0.17948	-0.04293	-0.40433	-0.54565	-0.10548	0.9185		
YHR005c	1	14	-0.43229	0.35748	0.18347	-1.12836	-1.44962	-1.24883	-0.53938	0.26378	0.61182	2.00396	2.01735	0.12992	-0.60631	-0.9008	0.14331	-0.20473	0.79922		
YLR395c	1	15	-0.03699	-1.11599	-0.94027	-1.41503	-0.78304	-0.51175	-0.1788	-0.89711	-0.1264	1.92678	0.49634	0.38536	-0.06474	-0.3237	0.15414	1.63699	1.79422		
YDL181w	1	15	-0.61916	-0.7923	-0.75648	-1.13261	-0.82215	-0.05198	-0.26094	-0.9535	-0.21915	2.74214	0.50326	0.37789	-0.27885	0.00176	-0.04601	0.53312	1.77495		
YGR183c	1	15	-0.19331	-1.1316	-1.2109	-0.59858	-0.54131	-0.74395	-0.1008	0.02254	0.26923	3.06209	1.0974	-0.09199	-0.65585	-0.4444	0.67451	0.08862	0.4983		
YLR258w	1	15	1.4351	-0.9766	-1.40105	-1.05377	-0.86083	-0.34955	-0.31097	-0.36885	-0.94766	0.58618	2.35155	1.10711	0.39325	0.72124	0.16173	-0.26273	-0.22415		
YML110c	1	15	0.49232	0.51382	0.02277	-1.03819	-1.87334	-1.43963	-0.81596	-0.81596	0.02277	2.14828	1.49951	0.50307	-0.01307	-0.14928	0.11955	0.34536	0.47798		
YLR273c	1	15	1.26126	0.55898	0.20784	-0.49443	-0.67	-0.60417	-0.84557	-0.51638	0.93207	2.20494	1.56851	-0.20913	-0.51638	-1.5259	-0.69195	-0.82363	0.16395		
YCR005c	1	15	0.36415	-0.70828	-1.2757	-1.15087	-1.29273	-1.31542	-0.81042	0.71028	1.18692	0.74433	0.80674	1.58979	1.44226	0.34713	0.27904	-0.53238	-0.38485		
YCL040w	1	15	1.49015	-0.68364	-1.25793	-0.99419	-0.70491	-1.08352	-1.18562	-0.76447	-0.47945	0.83504	1.53269	0.93288	0.07357	0.32456	0.2097	0.09059	1.66457		
YMR256c	1	15	-0.56861	-1.23822	-1.54633	-1.17249	-0.35088	-0.6179	-0.45769	-0.57271	0.35571	1.69494	1.12803	-0.34266	-0.17423	0.89798	0.64738	0.4502	1.86748		
YIL009w	1	16	-0.2117	0.6351	-0.50573	-1.07026	-1.12907	-0.88209	-1.18788	-1.16435	0.23522	1.67008	1.78769	1.15259	0.39988	-0.11761	-0.61158	-0.17642	1.17611		
YLL040c	1	16	0.48268	0.94636	-1.93405	-1.58278	-0.83809	-0.1215	-0.37441	-0.72568	0.38433	2.14067	1.08687	0.55294	0.65129	-0.65543	-0.21985	0.32813	-0.1215		
